ACS_location,restaurants_reviewed,reviews,average_stars,pct_reviews_local_organic_words,avg_stars_local_organic_words,avg_stars_no_local_organic_words,GEO.id,Zip_Code,Latitude,Longitude
Rochester,362,8175,3.555963303,0.003914373,4.09375,3.553849932,0600000US3605563000,14602,43.168,-77.602
Rome,54,429,3.82983683,0,NA,3.82983683,0600000US3606563418,13440,43.21888612,-75.45317884
Rosendale,11,247,3.91902834,0.052631579,3.846153846,3.923076923,0600000US3611163737,12472,41.84603756,-74.07875547
Rye,24,1296,3.677697842,0.022376543,3.862068966,3.374112076,0600000US3611964320,10580,40.97399287,-73.69028862
Salamanca,18,114,3.201754386,0,NA,3.201754386,0600000US3600964760,14779,42.17076406,-78.72156281
Saratoga,11,262,4.269565217,0.038167939,4.5,4.01984127,0600000US3609165244,12866,43.07618097,-73.77622229
Saugerties,40,839,4.020262217,0.027413588,4.608695652,4.003676471,0600000US3611165299,12477,42.07521079,-73.97974425
Scarsdale,73,2513,3.514524473,0.006366892,3.25,3.516219463,0600000US3611965442,10530,41.02347483,-73.80393762
Schenectady,202,3070,3.747557003,0.005537459,4.176470588,3.745168687,0600000US3609365508,12008,42.859479,-73.904159
Skaneateles,16,519,4.036608863,0.001926782,2,4.040540541,0600000US3606767521,13152,42.91441531,-76.40099816
Smithtown,63,2695,3.790352505,0.00445269,3.916666667,3.789787551,0600000US3610368000,11787,40.85297783,-73.2105442
Somers,17,267,3.546816479,0.014981273,3.5,3.547528517,0600000US3611968308,10589,41.33664396,-73.6953336
Southampton,58,1618,3.367119901,0.007416564,3.833333333,3.363636364,0600000US3610368473,11968,40.90782273,-72.41351207
Southeast,41,1009,3.576808722,0.008919722,4.111111111,3.572,0600000US3607968924,10509,41.41014245,-73.60318585
Southold,24,565,3.927433628,0.030088496,4.647058824,3.905109489,0600000US3610369463,11971,41.05780967,-72.42483368
Sweden,31,220,3.5,0.013636364,4.333333333,3.488479263,0600000US3605572455,14420,43.21098363,-77.93632208
Syracuse,415,8924,3.673576871,0.008852532,4.151898734,3.669304692,0600000US3606773000,13201,43.041,-76.153
Thompson,33,288,3.940972222,0.010416667,4.333333333,3.936842105,0600000US3610573627,12701,41.65469315,-74.68982318
Troy,131,3304,3.768159806,0.022397094,4.337837838,3.755108359,0600000US3608375484,12180,42.72732569,-73.66608313
Ulysses,12,211,4.104265403,0.137440758,4.586206897,4.027472527,0600000US3610975990,14886,42.52588647,-76.68120773
Union,64,680,3.742647059,0.004411765,3.666666667,3.742983752,0600000US3600776056,12545,41.7837822,-73.68676909
Utica,109,1178,3.94057725,0.016977929,5,3.922279793,0600000US3606576540,13501,43.08772378,-75.2299773
Vestal,27,295,3.552542373,0.003389831,3,3.554421769,0600000US3600777255,13850,42.07365243,-76.02010049
Victor,32,353,3.586402266,0.016997167,3.666666667,3.585014409,0600000US3606977387,14564,42.99921685,-77.41420374
Warrensburg,10,158,4.208860759,0.018987342,4.333333333,4.206451613,0600000US3611378300,12885,43.50406751,-73.78068063
Warwick,64,1378,3.825834543,0.06095791,4.202380952,3.801391036,0600000US3607178366,10990,41.26717594,-74.3605863
Washington,13,206,3.912621359,0.024271845,4.2,3.905472637,0600000US3602778388,13760,42.11173099,-76.05600078
Waterloo,13,163,3.429447853,0,NA,3.429447853,0600000US3609978564,13165,42.91279935,-76.87360906
Watertown,92,1321,3.462528388,0.003785011,4.2,3.459726444,0600000US3604578619,13601,43.97002448,-75.90866532
Watervliet,29,396,3.558080808,0.007575758,4.666666667,3.549618321,0600000US3600178674,12189,42.73068915,-73.71973501
Wawarsing,19,251,4.043824701,0.071713147,3.777777778,4.064377682,0600000US3611178828,12489,41.741763,-74.351723
Webster,75,1065,3.712676056,0.001877934,4,3.712135466,0600000US3605578971,14580,43.21811441,-77.46084244
Yonkers,299,7639,3.40856133,0.005890823,3.733333333,3.406636819,0600000US3611984000,10701,40.93994201,-73.88732491
